,state,year,case_action,case_type,age_group,count,for_total
366,Washington,2020,Initiated ONLY,G+C+Joint,Adults ONLY,2824,Y
367,Washington,2019,Initiated ONLY,G+C+Joint,Adults ONLY,2987,Y
368,Washington,2018,Initiated ONLY,G+C+Joint,Adults ONLY,2801,Y
369,Washington,2017,Initiated ONLY,G+C+Joint,Adults ONLY,3005,Y
370,West Virginia,2020,Ambiguous,G+C+Joint,Ambiguous,718,Y
371,West Virginia,2019,Ambiguous,G+C+Joint,Ambiguous,894,Y
372,West Virginia,2018,Ambiguous,G+C+Joint,Ambiguous,826,Y
373,West Virginia,2017,Ambiguous,G+C+Joint,Ambiguous,828,Y
374,West Virginia,2016,Ambiguous,G+C+Joint,Ambiguous,752,Y
375,Wisconsin,2020,Initiated+Reopened,G+C+Joint,Adults+Minors,5624,Y
376,Wisconsin,2019,Initiated+Reopened,G+C+Joint,Adults+Minors,6051,Y
377,Wisconsin,2018,Initiated+Reopened,G+C+Joint,Adults+Minors,6180,Y
378,Wisconsin,2017,Initiated+Reopened,G+C+Joint,Adults+Minors,6196,Y
379,Wisconsin,2016,Initiated+Reopened,G+C+Joint,Adults+Minors,6030,Y
